WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4553495 34.0542414)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;25;Wilshire Eb & Bonsall Fs
"MULTIPOINT (-118.4479052 34.0575799)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;26;Wilshire Eb & Veteran Ns
"MULTIPOINT (-118.4479052 34.0575799)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;26;Wilshire Eb & Veteran Ns
"MULTIPOINT (-118.4443707 34.0594547)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;27;Westwood Nb & Lindbrook Ns
"MULTIPOINT (-118.4443707 34.0594547)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;27;Westwood Nb & Lindbrook Ns
"MULTIPOINT (-118.4454066 34.0624205)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;28;Westwood Nb & Weyburn Ns
"MULTIPOINT (-118.4454066 34.0624205)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;28;Westwood Nb & Weyburn Ns
"MULTIPOINT (-118.4452312 34.0654335)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;29;Westwood Plaza Nb & J Stein Eye Fs
"MULTIPOINT (-118.4452665 34.0635232)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;29;Westwood Nb & Le Conte Ns
"MULTIPOINT (-118.4403651 34.0689551)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;580951;30;Charles E Young Term A
"MULTIPOINT (-118.442728 34.063671)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;30;Le Conte Eb & Tiverton Ns
"MULTIPOINT (-118.4409036 34.0645011)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;31;Hilgard Nb & Le Conte Fs
"MULTIPOINT (-118.4396655 34.0664399)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;32;Hilgard Nb & Manning Ave Ns
"MULTIPOINT (-118.4389286 34.0694032)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;33;Hilgard Nb & Westholme Ns
"MULTIPOINT (-118.4385593 34.0710292)";2;Wilshire Blvd - Venice;0;Line 2 UCLA;2 - Wilshire Blvd - Venice - 0 - Line 2 UCLA;581118;34;Ucla Terminal
"MULTIPOINT (-118.4385593 34.0710292)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;1;Ucla Terminal
"MULTIPOINT (-118.4391208 34.0693345)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;2;Hilgard Sb & Westholme Fs
"MULTIPOINT (-118.4394437 34.0669549)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;3;Hilgard Sb & Manning Dr Fs
"MULTIPOINT (-118.44135470000001 34.0641377)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;4;Le Conte Wb & Hilgard Fs
"MULTIPOINT (-118.442829 34.0637914)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;5;Le Conte Wb & Tiverton Fs
